idx,osm_idx,lat,lon
176,243808373,37.8390791,-122.2067878
177,243284443,37.8268523,-122.2890458
178,7398767112,37.7425272,-122.4057277
179,244333188,37.8363861,-122.2007338
180,2508733136,37.8062307,-122.186412
181,2508733152,37.8097226,-122.1850397
182,4649925461,37.7464069,-122.1234212
183,678968294,37.7671783,-122.215555
184,1949842470,37.8528217,-122.2212709
185,728775817,37.8233042,-122.2655158
186,2461023609,37.7933239,-122.4279972
187,1656765987,37.7503802,-122.3925141
188,318783029,37.7086729,-122.446538
189,318783030,37.7087408,-122.4462462
190,1606434388,37.7303374,-122.4719813
191,1606434399,37.7298683,-122.4720079
192,1656766049,37.750074,-122.3924498
193,5012209349,37.7774985,-122.4163079
194,243285770,37.8277841,-122.283131
195,217595718,37.784167,-122.1836311
196,275792199,37.8525531,-122.2637465
197,275792224,37.8526982,-122.2640113
198,761807528,37.7301598,-122.47591
199,295191216,37.8012662,-122.4246257
200,239616707,37.8854389,-122.2715089
201,239616902,37.8890954,-122.2722133
202,239616908,37.8900118,-122.2724337
203,239616920,37.8901622,-122.2725718
204,239616933,37.8854714,-122.2713143
205,239616946,37.8821433,-122.2707526
206,239616956,37.8747886,-122.2687534
207,239616965,37.873865,-122.2686517
208,239616976,37.8809483,-122.2695305
209,239616991,37.8836738,-122.2710702
210,239617010,37.8765963,-122.2689605
211,239617017,37.8756957,-122.2688562
212,239617021,37.8774895,-122.2690586
213,239617025,37.8784153,-122.2691677
214,239617031,37.8802241,-122.269373
215,6383748107,37.7207223,-122.4467127
216,6383748108,37.7200577,-122.4471704
217,6383748106,37.7207765,-122.4466688
218,6383748112,37.7209664,-122.4464338
219,239617045,37.8819153,-122.2705107
220,2607301927,37.7226325,-122.3954515
221,2607301928,37.7230814,-122.3950425
222,4924654914,37.7752033,-122.1586552
223,275793316,37.8569942,-122.264633
224,1012942397,37.7141172,-122.4852281
225,9880225727,37.7468856,-122.4116325
226,204491373,37.8321376,-122.2157132
227,6353341472,37.7610309,-122.4923094
228,2609017309,37.7366622,-122.3836771
229,6916427516,37.7466725,-122.4443771
230,6916427517,37.7466752,-122.4443525
231,1711296502,37.7282873,-122.4523626
232,1711296535,37.7182378,-122.4581865
233,1711296665,37.7290654,-122.4524623
234,1706578092,37.8808933,-122.2693394
235,1711296730,37.7276963,-122.4581689
236,1711296793,37.730107,-122.4582976
