i,n,lat,lon
220,1781269047,-3.7853607,-38.506983
221,1283719736,-3.7425986,-38.6101796
222,1781269058,-3.8095879,-38.478821
223,6617825864,-3.7480246,-38.5852947
224,6617825868,-3.748028,-38.5849442
225,1781269069,-3.8196247,-38.5162505
226,1283719763,-3.7463032,-38.6067637
227,3874885725,-3.7605071,-38.4863479
228,1781269077,-3.7702352,-38.4925095
229,1283719767,-3.7611574,-38.6142685
230,1781269080,-3.7693031,-38.4935589
231,1781269083,-3.7862838,-38.5046495
232,1283719776,-3.7549657,-38.6159251
233,1781269088,-3.7695437,-38.4946265
234,1781269092,-3.8097849,-38.47952
235,1781269099,-3.8099801,-38.4797907
236,1283719807,-3.7438686,-38.6092925
237,1781269119,-3.7840091,-38.504994
238,1781269125,-3.7701375,-38.4928414
239,1781269126,-3.7856401,-38.5058876
240,1781269130,-3.7894496,-38.5026916
241,1283719825,-3.7463088,-38.6073401
242,1781269140,-3.8008577,-38.4666375
243,1283719830,-3.7523401,-38.6157193
244,4835771030,-3.8604183,-38.4646879
245,4835771031,-3.8602662,-38.4650861
246,7045776024,-3.8435841,-38.5569745
247,1283719837,-3.7515606,-38.6083932
248,7045776048,-3.8420466,-38.5559124
249,1781269180,-3.8198897,-38.5156294
250,7045776064,-3.8416462,-38.5607588
251,1781269185,-3.7734608,-38.4988968
252,1897530051,-3.7791736,-38.5463396
253,1283719878,-3.7515841,-38.6094908
254,1781269192,-3.8008162,-38.4662249
255,1283719884,-3.7431731,-38.6141013
256,1781269196,-3.8245442,-38.5133468
257,1781269198,-3.7824493,-38.5046352
258,1283719891,-3.7427899,-38.6066198
259,1781269203,-3.8199679,-38.5156558
260,1283719899,-3.750517,-38.6112935
261,1781269217,-3.7994317,-38.4651401
262,1283719908,-3.7500203,-38.6095109
263,6585582308,-3.7402659,-38.5249221
264,1283719912,-3.7594584,-38.6141296
265,1781269224,-3.7708092,-38.4923099
266,1781269227,-3.7846538,-38.5042632
267,1283719917,-3.7591007,-38.6150267
268,1781269234,-3.7849849,-38.5048
269,1781269236,-3.7705054,-38.4932232
270,7189299959,-3.7705757,-38.6131875
271,1781269252,-3.8131296,-38.4799153
272,1781269255,-3.7863306,-38.5032282
273,1781269257,-3.82239,-38.5117973
274,1283719947,-3.7430172,-38.6083906
275,2858812174,-3.8554123,-38.4836658
276,2858812175,-3.8561399,-38.4835411
277,2858812178,-3.8579724,-38.4841968
278,7186940691,-3.721589,-38.4758563
279,2858812179,-3.8567074,-38.483712
280,2858812180,-3.8578571,-38.4833603
281,1283719958,-3.7595509,-38.6133325
282,2858812183,-3.8571348,-38.4843229
283,2858812184,-3.857025,-38.4836245
284,2858812185,-3.8576874,-38.4842384
285,1283719962,-3.7437674,-38.6084137
286,2019296027,-3.7465973,-38.4841361
287,2858812187,-3.8572943,-38.4835336
288,2858812186,-3.8575414,-38.4834571
289,2858812182,-3.8582112,-38.4832598
290,1781269280,-3.7703054,-38.4950229
291,1283719970,-3.757091,-38.6120994
292,5448663843,-3.7585778,-38.5046254
293,1283719973,-3.7609695,-38.6148254
294,2019296041,-3.739788,-38.4845814
295,2019296046,-3.7397261,-38.4847484
296,2019296048,-3.7470149,-38.4765728
297,1781269298,-3.8023966,-38.4691492
298,2779513654,-3.7350668,-38.4712297
299,1283719993,-3.7512478,-38.6103543
300,1781269306,-3.7870523,-38.5020741
301,2779513659,-3.7345264,-38.4700779
302,1283719996,-3.758346,-38.613522
303,1781269308,-3.8231035,-38.5118529
304,2019296062,-3.7470706,-38.4784069
305,2779513661,-3.7320391,-38.4734725
306,1283720000,-3.7497833,-38.6137623
307,1781269315,-3.7849483,-38.5068754
308,2019296068,-3.7482842,-38.4720143
309,1283720007,-3.7499945,-38.608409
310,1283720010,-3.7420736,-38.6066563
311,2019296074,-3.7443891,-38.4839155
312,1283720012,-3.7529965,-38.6157828
313,1283720015,-3.7503431,-38.6155
314,3526755153,-3.8315252,-38.5562976
315,3526755154,-3.8316506,-38.5559139
316,3526755155,-3.8316854,-38.5558085
317,2019296084,-3.7406679,-38.4851173
318,2019296085,-3.7468758,-38.4761687
319,3526755156,-3.8331933,-38.5581321
320,3526755158,-3.8339475,-38.5584334
321,3526755159,-3.8339674,-38.558364
322,3526755160,-3.8340515,-38.5584675
323,3526755157,-3.8337057,-38.5564271
324,2019296091,-3.7430928,-38.4868788
325,1781269339,-3.7703591,-38.4948645
326,1781269337,-3.7843093,-38.4575456
327,3526755162,-3.8344549,-38.5567515
328,3526755163,-3.834474,-38.556678
329,1781269344,-3.7865105,-38.5026209
330,3526755164,-3.8345583,-38.5567817
331,2019296100,-3.74887,-38.4701838
332,4022862693,-3.8081734,-38.4964772
333,2019296101,-3.7466972,-38.4795778
